TRANS NO,SEQ,METER NO,READING DATE,EMPLOYEE ID,READING,USAGE AMOUNT,BILLED DATE,UOM,METER DESCRIPTION,METER TYPE,UTILITY TYPE,LONG DESCRIPTION,REGION CODE,FACILITY ID,BUILDING,USAGE FACTOR,START DATE,BUILDING NAME,BUILDING CLASS,PROPERTY TYPE,METER MULTIPLIER,YEAR-MONTH,SERIAL #,ROUTE NO
9533,91,CW290B,2/29/2024 0:00,600317,18995781,122328,4/8/2024 9:48,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-2,LL 21590,SC
9559,87,CW290B,3/31/2024 0:00,600317,19091226,95445,4/30/2024 7:50,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-3,LL 21590,SC
9659,80,CW290B,4/30/2024 0:00,600317,19243861,152635,5/31/2024 15:10,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-4,LL 21590,SC
9711,77,CW290B,5/31/2024 0:00,600317,19469639,225778,6/28/2024 15:13,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-5,LL 21590,SC
9748,75,CW290B,6/30/2024 0:00,600317,19829205,359566,7/31/2024 13:28,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-6,LL 21590,SC
9781,70,CW290B,7/31/2024 0:00,600317,20149347,320142,9/6/2024 10:56,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-7,LL 21590,SC
9864,51,CW290B,8/31/2024 0:00,600317,20556740,407393,10/4/2024 13:07,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-8,LL 21590,SC
9913,51,CW290B,9/30/2024 0:00,600317,20767525,210785,11/7/2024 8:45,THR,STEPHENSON LIFE,NORMAL,CHILLED_WATER,BASEMENT EQUIP RM,NORMAN,SC,290,100,9/30/2015 0:00,STEPHENSON LIFE SCIENCES RESEARCH CENTER,E&G,ACADEMIC,1,2024-9,LL 21590,SC
8937,122,CW291B,1/31/2023 0:00,600317,10743493,50927,2/28/2023 13:28,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-1,432208,SC
8953,122,CW291B,2/28/2023 0:00,600317,10783613,40120,3/31/2023 18:15,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-2,432208,SC
8969,120,CW291B,3/31/2023 0:00,600317,10858781,75168,4/29/2023 16:05,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-3,432208,SC
9011,238,CW291B,4/30/2023 0:00,600317,10924927,66146,5/30/2023 14:16,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-4,432208,SC
9036,238,CW291B,5/31/2023 0:00,600317,11051909,126982,6/30/2023 8:22,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-5,432208,SC
9059,238,CW291B,6/30/2023 0:00,600317,11220129,168220,8/2/2023 13:44,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-6,432208,SC
9096,240,CW291B,7/31/2023 0:00,600317,11474179,254050,8/31/2023 14:20,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-7,432208,SC
9117,240,CW291B,8/31/2023 0:00,600317,11673647,199468,9/30/2023 12:28,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-8,432208,SC
9139,245,CW291B,9/30/2023 0:00,600317,11847675,174028,10/31/2023 14:25,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-9,432208,SC
9376,117,CW291B,10/31/2023 0:00,600317,11932779,85104,12/4/2023 14:40,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-10,432208,SC
9406,116,CW291B,11/30/2023 0:00,600317,11985765,52986,12/23/2023 12:37,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-11,432208,SC
9475,91,CW291B,12/31/2023 0:00,600317,12037428,51663,2/5/2024 8:17,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2023-12,432208,SC
9509,88,CW291B,1/31/2024 0:00,600317,12070614,33186,3/4/2024 14:02,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-1,432208,SC
9533,89,CW291B,2/29/2024 0:00,600317,12126019,55405,4/8/2024 9:48,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-2,432208,SC
9559,85,CW291B,3/31/2024 0:00,600317,12202994,76975,4/30/2024 7:50,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-3,432208,SC
9659,78,CW291B,4/30/2024 0:00,600317,12301721,98727,5/31/2024 15:10,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-4,432208,SC
9711,75,CW291B,5/31/2024 0:00,600317,12432474,130753,6/28/2024 15:13,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-5,432208,SC
9748,73,CW291B,6/30/2024 0:00,600317,12656016,223542,7/31/2024 13:28,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-6,432208,SC
9781,68,CW291B,7/31/2024 0:00,600317,12856626,200610,9/6/2024 10:56,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-7,432208,SC
9864,49,CW291B,8/31/2024 0:00,600317,13105681,249055,10/4/2024 13:07,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-8,432208,SC
9913,49,CW291B,9/30/2024 0:00,600317,13230261,124580,11/7/2024 8:45,THR,STEPHENSON RESEARCH,NORMAL,CHILLED_WATER,RM E4/1080 THEN E3/1080A,NORMAN,SC,291,100,2/29/2016 0:00,STEPHENSON RESEARCH AND TECHNOLOGY CENTER,E&G,ACADEMIC,1,2024-9,432208,SC
8937,103,CW292C,1/31/2023 0:00,600317,16633689,121243,2/28/2023 13:28,THR,NATIONAL WEATHER CENTER,NORMAL,CHILLED_WATER,MECH RM V3A,NORMAN,SC,292,100,5/31/2020 0:00,NATIONAL WEATHER CENTER,SPLIT,SPLIT,1,2023-1,432711,SC
8953,103,CW292C,2/28/2023 0:00,600317,16717735,84046,3/31/2023 18:15,THR,NATIONAL WEATHER CENTER,NORMAL,CHILLED_WATER,MECH RM V3A,NORMAN,SC,292,100,5/31/2020 0:00,NATIONAL WEATHER CENTER,SPLIT,SPLIT,1,2023-2,432711,SC
8969,101,CW292C,3/31/2023 0:00,600317,16865703,147968,4/29/2023 16:05,THR,NATIONAL WEATHER CENTER,NORMAL,CHILLED_WATER,MECH RM V3A,NORMAN,SC,292,100,5/31/2020 0:00,NATIONAL WEATHER CENTER,SPLIT,SPLIT,1,2023-3,432711,SC
9011,173,CW292C,4/30/2023 0:00,600317,17027912,162209,5/30/2023 14:16,THR,NATIONAL WEATHER CENTER,NORMAL,CHILLED_WATER,MECH RM V3A,NORMAN,SC,292,100,5/31/2020 0:00,NATIONAL WEATHER CENTER,SPLIT,SPLIT,1,2023-4,432711,SC
